brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
29,Anheuser-Busch,1228875809,4.0,4.0,3.5,TheFightfan1,Winter Warmer,4.5,4.0,Winter's Bourbon Cask Ale,6.0,27354
96,Magic Hat Brewing Company,1128117871,4.5,4.5,4.5,GCBrewingCo,Scotch Ale / Wee Heavy,4.0,4.0,Jinx,6.9,296
109,Moorhouse's Brewery (Burnley) Ltd,1122788969,4.5,3.5,3.5,whynot44,English Pale Ale,3.5,4.0,Pendle Witches Brew,5.1,340
669,Brouwerij De Landtsheer NV,1307029433,3.5,3.0,3.0,SmokinSmyth,Belgian Pale Ale,4.0,4.0,Malheur 6°,6.0,7844
152,Young & Co Brewery PLC,1053111081,4.0,4.0,3.5,budgood1,English Barleywine,4.0,4.0,Young's Old Nick Barley Wine Ale,7.2,1441
13307,Mikkeller ApS,1237261331,4.0,5.0,4.5,bryanbrick,American IPA,4.5,4.5,Simcoe Single Hop IPA,6.9,28793
184,Bierbrouwerij De Koningshoeven B.V.,1322028908,4.5,4.0,4.5,perrymarcus,Belgian Pale Ale,4.0,4.5,La Trappe Isid'or,7.5,51030
694,Tröegs Brewing Company,1133668518,3.5,2.5,3.0,mrasskicktastic,Belgian Strong Dark Ale,4.5,3.5,Tröegs Mad Elf,11.0,7531
2210,Firestone Walker Brewing Co.,1235280469,3.5,3.0,3.0,bbothen,English Pale Ale,3.0,3.0,Double Barrel Ale,5.0,5653
345,Victory Brewing Company,1325936190,3.5,3.5,4.0,Rifugium,Smoked Beer,3.5,4.0,Smokin' Oats,5.8,56742
192,New Belgium Brewing,1242436786,4.5,4.0,4.5,bluejacket74,Belgian Dark Ale,4.0,4.0,1554 Enlightened Black Ale,5.6,1914
786,Stevens Point Brewery,1322705189,2.5,2.5,3.0,stakem,Winter Warmer,3.0,3.0,St. Benedict's Winter Ale,6.2,39392
1550,Rock Bottom Restaurant & Brewery,1118365819,2.0,2.0,3.5,JackTheRipper,American Amber / Red Ale,4.0,3.0,North Star Amber Ale,5.0,15925
4338,C.B. & Potts Restaurant & Brewery,1206139622,2.5,3.0,3.0,rowew,American Amber / Red Ale,3.0,3.0,Big Horn Buttface Amber Ale,,25912
646,Carlow Brewing Company,1305430910,4.5,4.5,5.0,Cyberkedi,Irish Dry Stout,4.5,4.5,O'Hara's Irish Stout,4.3,1751
68,Flying Dog Brewery,1318135277,4.0,4.0,4.0,Immortale25,Hefeweizen,3.5,4.5,In-Heat Wheat,4.7,2249
45,Brooklyn Brewery,1226207301,3.0,3.5,4.0,Raligitano,American Amber / Red Lager,3.0,4.5,Brooklyn Lager,5.2,148
392,Weyerbacher Brewing Co.,1217469861,4.0,4.0,4.0,Stinkypuss,Weizenbock,3.5,4.5,Slam Dunkel,7.0,37691
345,Victory Brewing Company,1146970505,4.0,4.0,4.0,TheManiacalOne,American Barleywine,4.5,4.0,Old Horizontal,11.0,1009
12375,Mt. Carmel Brewing Company,1319157120,4.0,4.0,4.0,billab914,American Amber / Red Ale,3.5,3.5,Amber Ale,6.0,47754
1471,Dark Horse Brewing Company,1240836542,4.0,3.5,4.0,Ragingbull,American Strong Ale,4.0,4.5,Dark Horse Reserve Special Black Bier Ale,7.5,3877
16315,BrewDog,1229636084,4.5,5.0,4.5,hopdog,American Double / Imperial Stout,4.5,4.5,Tokyo,12.0,44484
1874,Pizzeria Uno Chicago Grill & Brewery,1062528029,3.5,3.0,3.0,Dogbrick,Hefeweizen,3.0,2.5,Hefeweizen,,12429
932,Hale's Ales Brewery & Pub,1082079166,4.0,4.0,4.0,BierReise,Russian Imperial Stout,3.0,4.0,Pikop Andropov's Rushin' Imperial Stout,8.0,9484
20417,White Birch Brewing,1295315025,4.0,4.0,3.5,Billolick,Belgian Pale Ale,3.5,4.0,White Birch Belgian Style Pale Ale,9.5,51844
220,Lagunitas Brewing Company,1231286855,4.0,4.0,4.0,thespaceman,American IPA,3.5,4.0,Lagunitas IPA,6.2,916
388,Brasserie Cantillon,1073538491,4.0,4.5,4.0,mickeymac,Lambic - Fruit,4.0,4.5,Cantillon Rosé De Gambrinus,5.0,2557
8,Widmer Brothers Brewing Company,1158036841,3.0,2.5,2.5,RJLarse,Altbier,3.0,3.0,Okto,5.5,25752
1471,Dark Horse Brewing Company,1275449864,4.0,4.0,4.5,pmccallum86,Russian Imperial Stout,4.5,4.0,Plead The 5th Imperial Stout,12.0,45073
30,Avery Brewing Company,1261191197,4.0,4.5,4.5,prototypic,American Double / Imperial IPA,4.0,4.0,DuganA IPA,8.5,53167
3818,Southern Tier Brewing Company,1210740786,4.0,3.5,3.5,scruffwhor,American Pale Wheat Ale,4.0,4.0,ÜberSun (Imperial Summer Wheat Beer),8.0,37672
428,Mahrs-Bräu,1102348257,4.0,4.0,4.5,RoyalT,Keller Bier / Zwickel Bier,4.0,4.0,Mahr's Ungespundet-hefetrüb,5.2,2412
140,Sierra Nevada Brewing Co.,1288009657,3.5,4.0,3.5,Thorpe429,American Brown Ale,4.0,3.5,Edge Of Darkness - Beer Camp #12,6.75,52574
147,Stone Brewing Co.,1240967970,3.5,4.0,4.5,ffejherb,American Strong Ale,3.5,3.5,Arrogant Bastard Ale,7.2,92
18393,Micro Cervejaria Bamberg,1311955947,4.0,4.0,3.5,DoubleJ,Dubbel,4.0,4.0,Due,6.5,71486
48,Brouwerij Van Steenberge N.V.,1235011111,2.5,4.5,4.5,Zaccone,Tripel,3.0,3.5,Augustijn Ale,8.0,1631
17310,Otway Estate Winery & Brewery,1297154698,3.5,3.5,3.5,dgilks,Irish Dry Stout,3.5,3.0,Prickly Moses Otway Stout,5.0,43496
1199,Founders Brewing Company,1312990240,4.5,4.5,5.0,mocktm,American Double / Imperial Stout,5.0,5.0,Founders Breakfast Stout,8.3,11757
798,Castle Eden & Camerons Brewing Company Ltd,1083421161,4.5,4.0,4.0,BeerResearcher,English Pale Ale,4.0,3.5,Castle Eden Ale,4.2,17314
18968,Appalachian Brewing Company,1095860086,4.0,4.0,4.0,WesWes,Witbier,4.0,4.0,Mad Cameron Belgian White,5.2,11177
2854,Flensburger Brauerei GmbH Und Co. KG,1170559726,4.0,4.5,4.0,Cadyfatcat,Hefeweizen,3.5,3.5,Flensburger Weizen,,6712
139,Shipyard Brewing Co.,1287193824,1.5,3.0,3.0,junjun,English India Pale Ale (IPA),3.0,1.5,Shipyard IPA,5.8,693
213,Narragansett Brewing Co.,1281973019,4.0,3.5,4.0,Gosox8787,American Adjunct Lager,3.5,3.5,Narragansett Lager,5.1,7406
132,Rogue Ales,1290044076,3.5,3.5,4.0,QuestionableScum,Maibock / Helles Bock,4.5,4.5,Dead Guy Ale,6.5,355
42,Brewery Ommegang,1193539123,3.5,4.0,5.0,jdubjacket,Belgian Dark Ale,4.5,3.5,Chocolate Indulgence Stout,7.0,38818
222,Brouwerij Duvel Moortgat NV,1104187090,4.5,4.5,4.0,AlexJ,Belgian Strong Pale Ale,4.5,4.0,Duvel,8.5,695
2743,Green Flash Brewing Co.,1243218117,3.5,4.5,4.5,gciccarelli,American IPA,4.0,4.0,Green Flash West Coast I.P.A.,7.3,22505
62,D.L. Geary Brewing Company,1109234989,4.0,3.5,4.0,crookedhalo,English Pale Ale,4.0,3.5,Geary's Pale Ale,4.5,192
3818,Southern Tier Brewing Company,1204933466,4.5,4.5,4.5,dsa7783,American Double / Imperial IPA,4.5,5.0,Unearthly (Imperial India Pale Ale),9.5,28577
132,Rogue Ales,1300565160,5.0,4.5,4.5,ant5431,Euro Pale Lager,5.0,5.0,Kells Irish Style Lager,5.0,6314
2681,Oskar Blues Grill & Brew,1170729393,5.0,4.0,4.5,mentor,Cream Ale,4.0,4.5,Money Shot,5.0,35143
641,Brouwerij Verhaeghe,1256150767,5.0,4.5,5.0,bonsreeb85,Flanders Red Ale,4.5,5.0,Duchesse De Bourgogne,6.0,1745
26,Three Floyds Brewing Co. & Brewpub,1310090960,4.0,3.5,4.0,xnicknj,American Double / Imperial IPA,4.0,4.0,Arctic Panzer Wolf,9.0,52531
140,Sierra Nevada Brewing Co.,1298451165,5.0,4.0,4.5,scootny,American Strong Ale,4.5,4.5,30th Anniversary - Grand Cru,9.2,63152
1199,Founders Brewing Company,1267996480,4.5,4.5,4.0,Bierguy5,American Porter,4.0,4.5,Founders Barrel-Aged Porter,9.0,41816
147,Stone Brewing Co.,1038140902,4.5,4.5,4.5,maxpower,Russian Imperial Stout,4.5,4.5,Stone Imperial Russian Stout,10.5,1160
216,Brouwerij Rodenbach N.V.,1298074194,2.5,4.0,4.5,OttoPeeWee,Flanders Red Ale,3.5,3.5,Rodenbach Grand Cru,6.0,673
1924,DuClaw Brewing Company,1312672953,4.5,4.0,4.0,Scotchboy,Russian Imperial Stout,4.0,4.0,Black Jack Imperial Stout,8.0,19045
96,Magic Hat Brewing Company,1271015267,4.0,4.0,4.0,chadmcneeley,American Amber / Red Lager,4.0,4.0,Vinyl,5.1,54540
2681,Oskar Blues Grill & Brew,1259185865,4.0,4.0,4.0,flannelman808,American Double / Imperial IPA,4.5,4.0,G'Knight Imperial Red Ale,8.7,8919
5489,Big Bear Brewing Company,1231703671,2.0,2.5,3.0,ThirstyBird,American Brown Ale,2.0,2.0,Brown Bear,6.0,26000
71,Fuller Smith & Turner PLC,1325253715,5.0,4.5,4.0,SargeC,Extra Special / Strong Bitter (ESB),4.5,5.0,Fuller's ESB,5.9,219
16842,Marshall Wharf Brewing Company / Three Tides Restaurant,1241505308,4.0,3.5,4.0,tai4ji2x,English Bitter,3.5,3.5,Little Toot,4.0,49580
287,"Bell's Brewery, Inc.",1123632420,4.5,4.0,4.0,bahumutx,American Amber / Red Ale,4.5,4.5,Bell's Amber Ale,5.8,794
1709,Capitol City Brewing,1299108160,3.5,3.0,3.5,smakawhat,American Amber / Red Ale,4.0,4.0,Amber Waves Ale,5.6,25744
335,New Holland Brewing Company,1239683150,4.5,4.5,4.5,feloniousmonk,American Double / Imperial Stout,4.0,4.0,New Holland Night Tripper,10.8,40671
11212,Iron Horse Brewery,1252012817,1.5,3.0,3.5,beertunes,American Double / Imperial Stout,3.5,3.0,Mocha Death,7.0,50908
341,Columbus Brewing Company,1147473141,4.0,3.5,4.0,Ahhdball,American Pale Ale (APA),3.5,3.5,Columbus Pale Ale,,3700
147,Stone Brewing Co.,1280782825,4.0,4.0,4.0,CityBoy1986,American Pale Ale (APA),4.5,4.0,Stone Pale Ale,5.4,87
1916,Kettle House Brewing Co.,1029864743,4.5,4.0,4.0,beernut7,American Pale Ale (APA),4.0,4.5,Ginseng Pale Ale,,5589
5317,Full Sail Brewery at Riverplace / The Pilsner Room,1245610889,4.0,4.0,4.0,bigbelcher,American Porter,4.5,4.0,Full Sail Imperial Porter,7.5,42209
287,"Bell's Brewery, Inc.",1290061222,4.0,4.0,4.5,Beertinez,American Stout,4.0,4.5,Bell's Special Double Cream Stout,6.1,2403
158,Great Divide Brewing Company,1286411262,3.5,4.0,3.0,BrewCrew2010,Scotch Ale / Wee Heavy,3.5,4.0,Claymore Scotch Ale,7.7,47440
2137,Breckenridge Brewery,1269837767,4.0,3.0,3.0,Bulkman,American Porter,3.5,3.5,Vanilla Porter,4.7,27800
23495,Professor Fritz Briem,1218580456,4.5,4.0,4.0,kleffman,Berliner Weissbier,4.5,4.0,Professor Fritz Briem 1809 Berliner Weisse,5.0,36378
1549,Goose Island Beer Co.,1260760609,4.0,4.0,4.5,Stigs,English India Pale Ale (IPA),4.0,4.0,India Pale Ale,5.9,3968
45,Brooklyn Brewery,1283145512,5.0,4.5,5.0,nyuballer,American Double / Imperial IPA,5.0,5.0,Brooklyn Detonation Ale,10.2,61361
141,Smuttynose Brewing Company,1309571313,2.5,3.0,3.5,Satchboogie,American Double / Imperial Stout,3.0,2.5,Smuttynose Belgian Stout (Short Batch Series),8.3,61957
700,Elysian Brewing Company,1260155029,3.0,2.0,3.0,beertunes,American Pale Ale (APA),3.0,3.0,Loser Pale Ale,7.0,44568
22893,Epic Brewing Co.,1321837995,4.0,3.5,4.0,Bierguy5,Pumpkin Ale,4.5,4.0,Fermentation Without Representation Imperial Pumpkin Porter,7.5,74942
148,Belhaven Brewery Company Ltd.,1292284938,3.0,3.0,3.5,BeerLover99,English Bitter,3.0,3.0,Belhaven Best,3.9,9684
694,Tröegs Brewing Company,1151040486,4.0,4.0,4.0,ggaughan,Belgian Strong Dark Ale,4.0,4.5,Tröegs Naked Elf,8.5,30310
287,"Bell's Brewery, Inc.",1233449122,4.5,2.0,4.0,Amsterdam,American Stout,4.0,4.5,Bell's Kalamazoo Stout,6.0,1117
16206,Philadelphia Brewing Company,1268099973,4.0,2.5,3.5,rawthar,Witbier,3.5,3.0,Walt Wit,4.2,41877
1199,Founders Brewing Company,1266719842,4.5,4.5,4.5,alexgash,Wheatwine,5.0,4.5,Founders Nemesis 2009,12.0,55900
22,Unibroue,1272228054,4.5,4.0,3.0,dtivp,Belgian Strong Dark Ale,4.5,4.5,Trois Pistoles,9.0,30
739,Brouwerij De Ranke,1134182015,4.0,4.0,4.5,maggotbrain,Belgian Strong Pale Ale,4.0,4.5,De Ranke Père Noël,7.0,2211
335,New Holland Brewing Company,1280682095,5.0,4.5,4.5,doppelbockrob,Smoked Beer,4.5,5.0,Charkoota Rye,7.79,47050
112,North Coast Brewing Co.,1248667128,3.5,4.0,4.5,realmpel,Russian Imperial Stout,3.5,4.0,Old Rasputin Russian Imperial Stout,9.0,412
5318,Port Brewing Company / Pizza Port,1202408408,4.5,4.5,4.0,BMan1113VR,American Double / Imperial Stout,4.0,4.5,Old Viscosity,10.0,31613
2743,Green Flash Brewing Co.,1263568596,4.0,4.0,4.0,FeDUBBELFIST,American IPA,4.0,4.5,Green Flash West Coast I.P.A.,7.3,22505
45,Brooklyn Brewery,1125805007,4.5,4.0,4.0,GnomeKing,Märzen / Oktoberfest,4.5,4.0,Brooklyn Oktoberfest Beer,5.5,570
13307,Mikkeller ApS,1247896165,4.0,4.0,3.5,msubulldog25,American Double / Imperial Stout,4.5,4.5,Beer Geek Brunch Weasel,10.9,46987
156,Tommyknocker Brewery,1318209808,4.0,4.0,3.0,rundocrun,American Brown Ale,4.0,4.0,Imperial Nut Brown Ale,9.8,21166
718,Brouwerij Bavik,1283056353,3.0,4.0,3.5,CHickman,Flanders Oud Bruin,4.0,3.5,Petrus Aged Pale,7.3,2184
18134,Redhook Ale Brewery,1278771222,3.0,3.0,3.0,CBlack85,American Amber / Red Ale,3.0,3.0,Copperhook,5.7,35061
2171,Four Peaks Brewing Company,1105585066,3.5,4.0,3.5,pezoids,Scottish Ale,3.5,3.5,Kilt Lifter Scottish Style Ale,6.0,6218
48,Brouwerij Van Steenberge N.V.,1118818618,3.0,4.0,5.0,MABZ,Belgian Strong Pale Ale,5.0,4.5,Bière Du Boucanier Golden,11.0,7975
478,Labatt Brewing Company Ltd.,1194414769,3.0,3.0,3.5,ZAP,American Adjunct Lager,3.0,3.5,Labatt Genuine Honey,5.0,24278
2243,The Porterhouse Brewing Company,1279591964,4.0,4.0,3.5,jpmclaug,Irish Dry Stout,4.0,4.0,Oyster Stout,5.2,5686
337,Saint Arnold Brewing Company,1072978909,4.5,4.0,4.0,spazaru,Winter Warmer,4.0,4.5,Saint Arnold Christmas Ale,7.0,1068
590,New Glarus Brewing Company,1259681871,4.0,4.0,3.5,nickynick,American Pale Lager,4.0,3.0,Totally Naked,4.25,6228
13307,Mikkeller ApS,1312159561,4.0,3.5,3.5,nezelrac,American IPA,4.0,4.0,Stateside IPA,7.0,33670
35,Boston Beer Company (Samuel Adams),1034402928,4.0,3.0,4.5,chilidog,German Pilsener,3.0,4.0,Samuel Adams Golden Pilsner,4.63,109
590,New Glarus Brewing Company,1143288995,4.0,5.0,5.0,nisjer05,Fruit / Vegetable Beer,5.0,5.0,Wisconsin Belgian Red,4.0,1577
392,Weyerbacher Brewing Co.,1295126497,5.0,4.5,4.0,jpmclaug,American Wild Ale,4.5,5.0,Riserva,11.4,43217
10099,Dogfish Head Brewery,1297225774,4.0,4.0,4.5,aggiearcher13,American Double / Imperial IPA,4.5,4.0,90 Minute IPA,9.0,2093
23973,Sebago Brewing Company,1273498777,4.0,3.0,4.0,Jayli,American IPA,4.0,3.5,Frye's Leap India Pale Ale,6.2,5815
68,Flying Dog Brewery,1189557336,3.0,4.0,3.5,dickieb,American IPA,3.0,3.0,Snake Dog IPA,7.1,205
1666,Selin's Grove Brewing Company,1178665944,4.5,4.5,4.5,ggaughan,Fruit / Vegetable Beer,4.5,4.5,Phoenix Kriek,6.5,37474
392,Weyerbacher Brewing Co.,1291693496,4.0,4.0,4.0,LordAdmNelson,American Wild Ale,4.0,5.0,Riserva,11.4,43217
1513,Barley's Smokehouse and Brewpub,1277165344,4.0,3.5,3.5,MbpBugeye,American Pale Wheat Ale,3.5,3.5,Barley's Katie's Summer Wheat,,59460
5316,Full Sail Brewery & Tasting Room & Pub,1205736977,3.5,3.5,4.0,1whiskey,American Brown Ale,4.0,4.0,Nut Brown Ale (Brewmaster Reserve 2008),6.0,41509
5318,Port Brewing Company / Pizza Port,1303007995,4.0,4.5,4.0,Marty30,American Double / Imperial IPA,4.0,4.0,Mongo,8.5,55342
10099,Dogfish Head Brewery,1251239909,4.5,3.0,4.0,BraveUlysses,Chile Beer,4.5,4.5,Theobroma,9.0,41702
35,Boston Beer Company (Samuel Adams),1265578223,3.0,3.0,4.0,L337ish,Schwarzbier,4.0,3.5,Samuel Adams Black Lager,4.9,21300
417,August Schell Brewing Company,1194576424,3.5,3.0,3.5,hylton44,Märzen / Oktoberfest,3.0,3.5,Oktoberfest,5.5,1568
3,Abita Brewing Co.,1202951978,4.0,4.0,4.5,burnstar,American IPA,4.0,4.0,Jockamo IPA,6.5,39390
738,Brasserie Fantôme,1215831810,4.5,4.0,3.5,Lofgrep,Saison / Farmhouse Ale,5.0,5.0,Fantôme Saison,8.0,5057
10099,Dogfish Head Brewery,1169613775,3.5,3.0,3.0,sleazo,American Pale Ale (APA),3.5,3.0,Shelter Pale Ale,5.0,1079
5318,Port Brewing Company / Pizza Port,1185195861,4.0,3.5,3.5,CharlesDarwin,American IPA,3.5,3.5,Swamis IPA,6.9,5614
267,Odell Brewing Company,1286836616,2.5,4.0,4.0,busternuggz,American Double / Imperial Pilsner,3.0,1.5,Odell Double Pilsner,8.1,31255
113,Samuel Smith Old Brewery (Tadcaster),1325035422,4.0,4.5,5.0,mustang70,English Brown Ale,4.0,4.0,Samuel Smith's Nut Brown Ale,5.0,576
2281,Quidi Vidi Brewing Company,1258254030,2.0,2.5,3.5,biboergosum,Light Lager,3.0,2.5,Iceberg Beer,4.5,43761
17981,Cigar City Brewing,1297998834,2.5,3.0,4.0,mbrady55,American Wild Ale,3.5,2.5,Vuja De,9.96,65426
68,Flying Dog Brewery,1289507468,3.5,3.0,3.0,rarbring,Kölsch,4.0,3.5,Tire Bite Golden Ale,5.1,2151
192,New Belgium Brewing,1163736393,3.5,4.0,4.0,aaronh,Tripel,3.5,3.5,Trippel Belgian Style Ale,7.8,1054
216,Brouwerij Rodenbach N.V.,1272857211,5.0,4.5,4.5,glid02,Flanders Red Ale,4.0,5.0,Rodenbach Grand Cru,6.0,673
864,Red Brick Brewing Company,1297221424,3.0,3.0,2.0,baconsausage,Belgian Strong Dark Ale,2.5,3.5,Long John Ale,8.2,63469
220,Lagunitas Brewing Company,1271731201,4.0,3.5,4.0,Lazerlobe,American Strong Ale,4.0,3.5,Wilco Tango Foxtrot,7.83,56613
3923,Henninger Bräu AG,1125598351,3.0,2.5,3.0,BEERchitect,Munich Helles Lager,2.5,2.5,Henninger Premium Lager,4.8,9298
898,Heavy Seas Beer,1185571939,4.0,3.5,4.0,stereosforgeeks,American IPA,3.5,4.0,Heavy Seas - Loose Cannon (Hop3 Ale),7.25,25755
141,Smuttynose Brewing Company,1314317002,4.0,4.0,4.0,DaveBlack,Belgian IPA,4.0,4.0,Smuttynose Homunculus (Big Beer Series),9.9,35225
140,Sierra Nevada Brewing Co.,1282794924,3.5,4.0,4.0,Keffa,American Barleywine,3.5,5.0,30th Anniversary - Jack & Ken's Ale,10.2,60474
73,Great Lakes Brewing Company,1192543855,4.5,4.5,4.5,franksnbeans,Russian Imperial Stout,4.5,4.5,Great Lakes Blackout Stout,9.0,15813
28,Anchor Brewing Company,1112673197,3.5,3.5,4.5,whynot44,Winter Warmer,4.0,4.0,Our Special Ale 2004 (Anchor Christmas Ale),5.25,20599
28,Anchor Brewing Company,1267115874,3.5,4.5,4.0,GratefulBeerGuy,English Barleywine,3.5,4.0,Anchor Old Foghorn,8.2,1445
735,21st Amendment Brewery,1300671308,3.5,2.5,3.5,colforbin73,American Black Ale,3.0,3.5,Back In Black,6.8,46070
18134,Redhook Ale Brewery,1196629036,4.0,2.5,3.5,terrabyte,Winter Warmer,3.0,3.5,Winterhook Winter Ale,5.9,13906
694,Tröegs Brewing Company,1249557953,4.5,3.0,3.0,GordonQuid,English Brown Ale,4.0,4.0,Tröegs Rugged Trail Nut Brown Ale,4.4,3677
4686,Hofbräuhaus München,1280105345,4.5,4.0,4.0,gkunkle,Munich Dunkel Lager,4.5,4.0,Hofbräu Dunkel,5.5,8116
839,Tooheys Brewing,1118525850,1.0,1.0,1.0,AussieInPhilly,Euro Dark Lager,1.0,1.0,Tooheys Red,4.5,4001
10099,Dogfish Head Brewery,1142019705,4.0,4.0,3.5,harsley,American IPA,3.5,4.5,60 Minute IPA,6.0,6108
1169,Fitger's Brewhouse,1082306413,4.0,4.0,4.5,ZAP,Oatmeal Stout,4.0,4.5,Big Boat Oatmeal Stout,6.6,9890
15189,Big Boss Brewing,1294110200,3.5,3.5,4.0,GehenHerzog,American Stout,4.0,4.5,Aces & Ates,8.0,47602
3268,O'Fallon Brewery,1273983706,4.0,4.0,2.5,bnes09,American IPA,3.0,3.0,5 Day IPA,6.1,28350
10485,East End Brewing Company,1169914203,4.5,4.0,4.5,Alkey,American Stout,4.0,4.0,Blackstrap Stout,6.2,20954
147,Stone Brewing Co.,1259162660,4.0,4.0,4.0,cypressbob,American Strong Ale,4.0,4.5,Oaked Arrogant Bastard Ale,7.2,8951
287,"Bell's Brewery, Inc.",1295675989,2.0,3.5,4.0,alcstradamus,American Strong Ale,3.0,3.0,Bell's 25th Anniversary Ale,8.5,60506
213,Narragansett Brewing Co.,1294457618,4.0,3.5,4.0,philmorepunk87,American Adjunct Lager,4.0,3.5,Narragansett Lager,5.1,7406
147,Stone Brewing Co.,1315289571,4.0,4.0,4.5,DaftCaskBC,American Black Ale,4.5,4.0,Stone 15th Anniversary Escondidian Imperial Black IPA,10.8,72138
140,Sierra Nevada Brewing Co.,1304395123,4.0,4.0,4.5,BarryMFBurton,American Barleywine,3.5,4.0,Sierra Nevada Bigfoot Barleywine Style Ale,9.6,2671
112,North Coast Brewing Co.,1063393411,3.0,4.5,3.5,nomad,American Brown Ale,4.0,3.0,ACME California Brown Ale,5.6,405
5316,Full Sail Brewery & Tasting Room & Pub,1231893625,4.0,3.5,4.0,Kegatron,American Double / Imperial IPA,4.0,3.5,Slipknot Imperial IPA (Brewmaster Reserve),7.8,8716
23200,Knee Deep Brewing Company,1305264555,3.0,3.0,3.5,SHODriver,American Porter,3.0,3.5,Tanilla Porter,6.3,68262
174,Latrobe Brewing Co.,1246027279,1.5,1.5,2.0,yesyouam,American Adjunct Lager,1.0,1.5,Rolling Rock Extra Pale,4.6,567
42,Brewery Ommegang,1044951443,4.0,4.0,4.5,BeerBuilder,Saison / Farmhouse Ale,4.0,4.5,Hennepin (Farmhouse Saison),7.7,141
423,Boulevard Brewing Co.,1219453232,3.5,3.5,3.0,brentk56,Witbier,3.5,3.5,ZÔN,4.4,3278
2743,Green Flash Brewing Co.,1291803678,4.0,4.0,4.0,dgilks,Belgian IPA,4.0,4.5,Green Flash Le Freak,9.2,36727
68,Flying Dog Brewery,1213844347,4.0,3.5,4.0,allergictomacros,American Porter,3.5,4.0,Road Dog Porter,6.0,206
113,Samuel Smith Old Brewery (Tadcaster),1163428964,4.0,3.5,4.0,mnesporov,Winter Warmer,3.5,4.0,Samuel Smith's Winter Welcome Ale,6.0,577
302,Genesee Brewing Co. / Dundee Brewing Co.,1199512574,4.0,3.5,4.0,beerjunkie420,American IPA,3.0,3.0,Dundee India Pale Ale,6.3,25144
3185,The Tap Brewing Company,1086369985,4.5,5.0,3.5,thestuff,American Double / Imperial Stout,4.5,4.0,Golden Slipper,8.6,16778
199,Ballast Point Brewing Company,1232988263,4.5,4.0,4.0,tmoneyba,American Double / Imperial IPA,4.0,4.0,Dorado Double IPA,9.6,10386
8,Widmer Brothers Brewing Company,1277092530,4.5,4.0,4.0,TMoney2591,Doppelbock,4.5,4.5,Cherry Oak Doppelbock (Brothers' Reserve Series),9.0,52848
652,Central Waters Brewing Company,1296084492,3.0,3.0,3.5,mdfb79,American IPA,4.0,3.0,Glacial Trail IPA,5.5,42189
10097,Harpoon Brewery,1248297470,4.0,3.5,3.5,JMD,Kölsch,3.5,3.5,Harpoon Summer Beer,5.5,307
96,Magic Hat Brewing Company,1315788017,4.0,3.5,4.0,Chaney,American IPA,4.0,4.0,Hi.P.A.,6.7,9873
7406,Bitter Root Brewing,1213996928,3.5,4.0,4.5,GClarkage,Hefeweizen,4.0,3.5,Smoked Hefeweizen,,43314
